time,open,high,low,close
1567958400,10000,10357.53,10000,10340.12
1567972800,10340.12,10412.65,10324.77,10391.63
1567987200,10316.62,10316.68,10267.37,10297.89
1568001600,10297.89,10316.34,10092.71,10149.47
1568016000,10149.47,10475.54,10077.22,10414.6
1568030400,10411.7,10411.7,10302.69,10314.26
1568044800,10314.26,10333.55,10183.31,10308.87
1568059200,10307.8,10420.65,10228.28,10307
1568073600,10307,10382.97,10266.61,10307.25
1568088000,10309.17,10329.24,10226.81,10272.46
1568102400,10271.93,10290.01,10206.87,10254.56
1568116800,10252.7,10270.58,10167.91,10179.1
1568131200,10172.13,10237.41,9940.87,10026.56
1568145600,10021.49,10127.22,9991.73,10102.02
1568160000,10094.27,10293.11,10051,10093.88
1568174400,10091.53,10097.65,9884.31,10067.46
1568188800,10068.41,10138.01,9988.69,10070.53
1568203200,10062.34,10101.38,9973.15,9991.84
1568217600,9992.18,10123.29,9934.11,10077.6
1568232000,10073.64,10184.66,10064.11,10159.55
1568246400,10163.06,10205.46,10085.88,10113.43
1568260800,10116.97,10129.19,10042.12,10078.96
1568275200,10079.76,10187.9,10076.95,10170.93
1568289600,10170,10365.15,10170,10326.58
1568304000,10327.25,10349.91,10239.42,10308.8
1568318400,10301.82,10450.13,10300.85,10415.13
1568332800,10414.96,10440.55,10329.3,10364.64
1568347200,10364.82,10399.81,10267.89,10284.03
1568361600,10283.68,10327.14,10251.99,10306.52
1568376000,10306.52,10344,10270,10296.57
1568390400,10294.81,10310.08,10186.34,10210.25
1568404800,10210.25,10355.85,10153.51,10341.34
1568419200,10343.01,10353.72,10267.08,10280.77
1568433600,10280.58,10330.61,10259.75,10316.67
1568448000,10319.07,10348,10287.53,10291.93
1568462400,10292.13,10396.4,10222.77,10358
1568476800,10355.61,10398,10325.41,10363.8
1568491200,10363.63,10419.97,10317.39,10332.25
1568505600,10333.47,10359.2,10024.81,10303.39
1568520000,10302.49,10326.59,10273.21,10308.96
1568534400,10308.08,10320,10268.55,10296.63
1568548800,10296.54,10317.29,10252.28,10306.37
1568563200,10306.79,10332.61,10280.14,10294.68
1568577600,10294.46,10316.45,10265.32,10302.22
1568592000,10302,10353.81,10300,10300.07
1568606400,10300.24,10325,10279.69,10302.3
1568620800,10301.95,10316.71,10275.74,10282.74
1568635200,10282.03,10282.03,10115,10120.07
1568649600,10117.4,10160.39,10080.7,10124.17
1568664000,10120.37,10329.38,10119.29,10249.27
1568678400,10257.3,10261.36,10175.2,10224.09
